incident_id,incident_type,facility,department,activity,root_cause,body_part_affected,personnel_id,age_group,experience_years,shift,severity_level,potential_severity,osha_recordable,days_away,risk_score,risk_category,direct_cost_usd,indirect_cost_usd,productivity_loss_usd,total_incident_cost_usd,regulatory_fine_usd,total_cost_with_fines_usd,toolbox_talk_conducted,jsa_completed,ppe_compliant,preventable,corrective_action_status,days_to_close,investigation_quality_score,incident_date,year,month,quarter,week_of_year,day_of_week,hour_of_day,month_name,reported_date,investigation_completed_date,total_hours_worked,is_preventable_cost,is_lti,prevention_score
INC-2024-00011,Medical Treatment,Facility A - Production,Engineering,Hot Work (Welding/Cutting),Environmental Factors,Hand/Finger,EMP-0082,56+,28,Swing,3,4,1,0,9,Medium,4712.0,5678.0,3165.0,13555.0,25000,38555.0,1,0,1,0,Completed,4,8,2024-02-27 10:40:48.124751,2024,2,1,9,Tuesday,8,February,2024-02-29 10:40:48.124751,2024-03-04 10:40:48.124751,2500000.0,0.0,0,0.6666666666666666
INC-2024-00012,Near Miss,Facility B - Maintenance,Maintenance,Manual Handling/Lifting,Fatigue,Not Applicable,EMP-0111,26-35,8,Swing,1,1,0,0,4,Low,104.0,195.0,0.0,299.0,0,299.0,1,1,1,0,Completed,28,5,2024-02-28 10:40:48.124751,2024,2,1,9,Wednesday,15,February,2024-03-01 10:40:48.124751,2024-03-29 10:40:48.124751,2500000.0,0.0,0,1.0
INC-2024-00013,Near Miss,Facility A - Production,Maintenance,Chemical Handling,Procedural Non-Compliance,Not Applicable,EMP-0026,46-55,22,Swing,1,1,0,0,3,Low,107.0,231.0,0.0,338.0,0,338.0,0,0,0,1,In Progress,33,6,2024-02-29 10:40:48.124751,2024,2,1,9,Thursday,8,February,2024-03-02 10:40:48.124751,2024-04-04 10:40:48.124751,2500000.0,338.0,0,0.0
INC-2024-00014,Near Miss,Facility A - Production,HSE Department,Hot Work (Welding/Cutting),Rushing/Time Pressure,Not Applicable,EMP-0093,18-25,0,Day,1,1,0,0,4,Low,129.0,191.0,0.0,320.0,0,320.0,1,1,1,1,Completed,22,7,2024-03-01 10:40:48.124751,2024,3,1,9,Friday,11,March,2024-03-01 10:40:48.124751,2024-03-23 10:40:48.124751,2500000.0,320.0,0,1.0
INC-2024-00015,Near Miss,Facility A - Production,Engineering,Pressure Testing,Lack of Training/Competency,Not Applicable,EMP-0076,18-25,6,Day,1,3,0,0,3,Low,114.0,259.0,0.0,373.0,0,373.0,1,1,0,0,In Progress,58,10,2024-03-06 10:40:48.124751,2024,3,1,10,Wednesday,0,March,2024-03-06 10:40:48.124751,2024-05-03 10:40:48.124751,2500000.0,0.0,0,0.6666666666666666
INC-2024-00016,Restricted Work,Facility A - Production,Production Operations,Vehicle Operations,Communication Breakdown,Multiple Areas,EMP-0154,46-55,26,Swing,4,4,1,8,16,Critical,16368.0,24804.0,19742.0,60914.0,25000,85914.0,1,1,1,1,In Progress,49,5,2024-03-07 10:40:48.124751,2024,3,1,10,Thursday,15,March,2024-03-09 10:40:48.124751,2024-04-27 10:40:48.124751,2500000.0,85914.0,0,1.0
INC-2024-00017,Near Miss,Facility A - Production,Maintenance,Hot Work (Welding/Cutting),Poor Housekeeping,Not Applicable,EMP-0016,36-45,29,Swing,1,2,0,0,4,Low,94.0,191.0,0.0,285.0,0,285.0,1,1,1,1,Overdue,63,10,2024-03-14 10:40:48.124751,2024,3,1,11,Thursday,7,March,2024-03-15 10:40:48.124751,2024-05-17 10:40:48.124751,2500000.0,285.0,0,1.0
INC-2024-00018,Near Miss,Facility B - Maintenance,Logistics,Pressure Testing,Procedural Non-Compliance,Not Applicable,EMP-0041,18-25,3,Night,1,1,0,0,2,Low,111.0,191.0,0.0,302.0,0,302.0,1,0,1,1,In Progress,15,8,2024-03-16 10:40:48.124751,2024,3,1,11,Saturday,13,March,2024-03-18 10:40:48.124751,2024-04-02 10:40:48.124751,2500000.0,302.0,0,0.6666666666666666
INC-2024-00019,Near Miss,Facility A - Production,Maintenance,Housekeeping,Inadequate Risk Assessment,Not Applicable,EMP-0093,56+,10,Night,1,3,0,0,1,Low,82.0,165.0,0.0,247.0,0,247.0,0,1,1,1,Completed,13,10,2024-03-16 10:40:48.124751,2024,3,1,11,Saturday,13,March,2024-03-17 10:40:48.124751,2024-03-30 10:40:48.124751,2500000.0,247.0,0,0.6666666666666666
INC-2024-00020,First Aid,Facility A - Production,Production Operations,Housekeeping,Lack of Training/Competency,Back,EMP-0124,46-55,2,Swing,2,2,0,0,2,Low,579.0,714.0,463.0,1756.0,0,1756.0,0,0,1,1,Completed,28,7,2024-03-17 10:40:48.124751,2024,3,1,11,Sunday,9,March,2024-03-18 10:40:48.124751,2024-04-15 10:40:48.124751,2500000.0,1756.0,0,0.3333333333333333
INC-2024-00021,Medical Treatment,Facility B - Maintenance,Engineering,Hot Work (Welding/Cutting),Communication Breakdown,Head,EMP-0077,26-35,1,Night,3,3,1,0,3,Low,4704.0,9271.0,3747.0,17722.0,0,17722.0,1,1,1,1,Completed,16,5,2024-03-18 10:40:48.124751,2024,3,1,12,Monday,0,March,2024-03-18 10:40:48.124751,2024-04-03 10:40:48.124751,2500000.0,17722.0,0,1.0
INC-2024-00022,Near Miss,Facility A - Production,Production Operations,Equipment Maintenance,Equipment Failure,Not Applicable,EMP-0114,18-25,13,Day,1,3,0,0,3,Low,79.0,206.0,0.0,285.0,0,285.0,1,1,1,1,Pending,43,9,2024-03-20 10:40:48.124751,2024,3,1,12,Wednesday,5,March,2024-03-21 10:40:48.124751,2024-05-03 10:40:48.124751,2500000.0,285.0,0,1.0
INC-2024-00023,Near Miss,Facility A - Production,HSE Department,Pressure Testing,Environmental Factors,Not Applicable,EMP-0176,56+,0,Swing,1,1,0,0,4,Low,121.0,226.0,0.0,347.0,0,347.0,1,1,1,0,Completed,16,6,2024-03-21 10:40:48.124751,2024,3,1,12,Thursday,8,March,2024-03-21 10:40:48.124751,2024-04-06 10:40:48.124751,2500000.0,0.0,0,1.0
INC-2024-00024,Near Miss,Facility A - Production,Maintenance,Chemical Handling,Poor Housekeeping,Not Applicable,EMP-0042,26-35,6,Day,1,3,0,0,4,Low,105.0,178.0,0.0,283.0,0,283.0,1,1,1,1,Overdue,127,7,2024-03-26 10:40:48.124751,2024,3,1,13,Tuesday,18,March,2024-03-28 10:40:48.124751,2024-08-02 10:40:48.124751,2500000.0,283.0,0,1.0
INC-2024-00025,Near Miss,Facility A - Production,Workshop,Chemical Handling,Inadequate Risk Assessment,Not Applicable,EMP-0145,46-55,15,Night,1,2,0,0,3,Low,73.0,198.0,0.0,271.0,0,271.0,1,1,1,1,In Progress,46,10,2024-03-27 10:40:48.124751,2024,3,1,13,Wednesday,21,March,2024-03-27 10:40:48.124751,2024-05-12 10:40:48.124751,2500000.0,271.0,0,1.0
INC-2024-00026,First Aid,Facility B - Maintenance,Production Operations,Vehicle Operations,Lack of Training/Competency,Hand/Finger,EMP-0083,36-45,19,Day,2,3,0,0,2,Low,497.0,768.0,375.0,1640.0,0,1640.0,0,1,1,1,Completed,22,7,2024-03-27 10:40:48.124751,2024,3,1,13,Wednesday,15,March,2024-03-28 10:40:48.124751,2024-04-19 10:40:48.124751,2500000.0,1640.0,0,0.6666666666666666
INC-2024-00027,First Aid,Facility A - Production,Maintenance,Routine Operations,Inadequate PPE,Multiple Areas,EMP-0036,56+,18,Night,2,2,0,0,6,Medium,577.0,1066.0,459.0,2102.0,0,2102.0,0,1,0,1,Completed,11,8,2024-03-29 10:40:48.124751,2024,3,1,13,Friday,18,March,2024-03-30 10:40:48.124751,2024-04-10 10:40:48.124751,2500000.0,2102.0,0,0.3333333333333333
INC-2024-00028,Environmental Spill,Facility B - Maintenance,Workshop,Pressure Testing,Procedural Non-Compliance,Not Applicable,EMP-0129,36-45,23,Night,3,3,0,0,6,Medium,23832.0,31137.0,12060.0,67029.0,0,67029.0,1,1,0,0,Completed,19,6,2024-03-31 10:40:48.124751,2024,3,1,13,Sunday,10,March,2024-04-01 10:40:48.124751,2024-04-20 10:40:48.124751,2500000.0,0.0,0,0.6666666666666666
INC-2024-00029,Restricted Work,Facility B - Maintenance,Engineering,Vehicle Operations,Lack of Training/Competency,Head,EMP-0131,46-55,8,Night,4,4,1,5,16,Critical,12848.0,30517.0,15865.0,59230.0,0,59230.0,1,0,1,1,In Progress,54,6,2024-04-14 10:40:48.124751,2024,4,2,15,Sunday,20,April,2024-04-16 10:40:48.124751,2024-06-09 10:40:48.124751,2500000.0,59230.0,0,0.6666666666666666
INC-2024-00030,First Aid,Facility A - Production,Engineering,Hot Work (Welding/Cutting),Procedural Non-Compliance,Hand/Finger,EMP-0146,46-55,7,Swing,2,3,0,0,4,Low,628.0,968.0,402.0,1998.0,0,1998.0,0,0,1,1,Pending,12,7,2024-04-17 10:40:48.124751,2024,4,2,16,Wednesday,10,April,2024-04-17 10:40:48.124751,2024-04-29 10:40:48.124751,2500000.0,1998.0,0,0.3333333333333333
INC-2024-00031,Lost Time Injury,Facility A - Production,Logistics,Confined Space Entry,Equipment Failure,Arm,EMP-0094,18-25,6,Swing,5,5,1,16,5,Low,55503.0,62303.0,40179.0,157985.0,5000,162985.0,1,1,1,1,Completed,15,6,2024-04-18 10:40:48.124751,2024,4,2,16,Thursday,13,April,2024-04-20 10:40:48.124751,2024-05-05 10:40:48.124751,2500000.0,162985.0,1,1.0
INC-2024-00032,Near Miss,Facility B - Maintenance,Workshop,Equipment Maintenance,Environmental Factors,Not Applicable,EMP-0095,18-25,28,Swing,1,3,0,0,5,Low,76.0,213.0,0.0,289.0,0,289.0,1,1,1,0,Pending,38,9,2024-04-19 10:40:48.124751,2024,4,2,16,Friday,6,April,2024-04-19 10:40:48.124751,2024-05-27 10:40:48.124751,2500000.0,0.0,0,1.0
INC-2024-00033,First Aid,Facility B - Maintenance,Production Operations,Pressure Testing,Communication Breakdown,Leg/Foot,EMP-0057,18-25,2,Night,2,3,0,0,2,Low,605.0,1206.0,504.0,2315.0,0,2315.0,1,0,0,1,Completed,23,8,2024-04-22 10:40:48.124751,2024,4,2,17,Monday,11,April,2024-04-24 10:40:48.124751,2024-05-17 10:40:48.124751,2500000.0,2315.0,0,0.3333333333333333
INC-2024-00034,Near Miss,Facility B - Maintenance,Engineering,Manual Handling/Lifting,Rushing/Time Pressure,Not Applicable,EMP-0067,56+,27,Swing,1,2,0,0,5,Low,84.0,183.0,0.0,267.0,0,267.0,1,1,1,1,Completed,13,5,2024-04-24 10:40:48.124751,2024,4,2,17,Wednesday,19,April,2024-04-26 10:40:48.124751,2024-05-09 10:40:48.124751,2500000.0,267.0,0,1.0
INC-2024-00035,First Aid,Facility B - Maintenance,Maintenance,Chemical Handling,Rushing/Time Pressure,Chest/Torso,EMP-0116,26-35,6,Night,2,4,0,0,6,Medium,487.0,1272.0,605.0,2364.0,0,2364.0,1,0,1,1,In Progress,51,5,2024-04-27 10:40:48.124751,2024,4,2,17,Saturday,19,April,2024-04-28 10:40:48.124751,2024-06-18 10:40:48.124751,2500000.0,2364.0,0,0.6666666666666666
INC-2024-00036,First Aid,Facility A - Production,Engineering,Pressure Testing,Fatigue,Leg/Foot,EMP-0129,26-35,24,Swing,2,3,0,0,10,Medium,368.0,1138.0,449.0,1955.0,0,1955.0,0,0,1,1,Completed,1,10,2024-04-27 10:40:48.124751,2024,4,2,17,Saturday,22,April,2024-04-29 10:40:48.124751,2024-04-30 10:40:48.124751,2500000.0,1955.0,0,0.3333333333333333
INC-2024-00037,Near Miss,Facility B - Maintenance,HSE Department,Vehicle Operations,Communication Breakdown,Not Applicable,EMP-0041,18-25,16,Day,1,3,0,0,2,Low,72.0,259.0,0.0,331.0,0,331.0,1,1,1,0,Completed,16,10,2024-04-27 10:40:48.124751,2024,4,2,17,Saturday,4,April,2024-04-29 10:40:48.124751,2024-05-15 10:40:48.124751,2500000.0,0.0,0,1.0
INC-2024-00038,Restricted Work,Facility B - Maintenance,Logistics,Hot Work (Welding/Cutting),Communication Breakdown,Eye,EMP-0162,18-25,6,Day,4,5,1,3,4,Low,13815.0,28195.0,10242.0,52252.0,10000,62252.0,0,1,1,1,In Progress,52,9,2024-04-29 10:40:48.124751,2024,4,2,18,Monday,0,April,2024-04-29 10:40:48.124751,2024-06-20 10:40:48.124751,2500000.0,62252.0,0,0.6666666666666666
INC-2024-00039,Equipment Damage,Facility A - Production,Logistics,Confined Space Entry,Equipment Failure,Not Applicable,EMP-0174,26-35,16,Day,2,2,0,0,10,Medium,8226.0,9280.0,4386.0,21892.0,0,21892.0,1,1,1,0,Completed,9,8,2024-04-30 10:40:48.124751,2024,4,2,18,Tuesday,10,April,2024-05-02 10:40:48.124751,2024-05-11 10:40:48.124751,2500000.0,0.0,0,1.0
INC-2024-00040,Near Miss,Facility A - Production,Engineering,Vehicle Operations,Lack of Training/Competency,Not Applicable,EMP-0076,46-55,2,Day,1,1,0,0,2,Low,71.0,227.0,0.0,298.0,0,298.0,0,0,1,1,Completed,27,5,2024-04-30 10:40:48.124751,2024,4,2,18,Tuesday,14,April,2024-05-01 10:40:48.124751,2024-05-28 10:40:48.124751,2500000.0,298.0,0,0.3333333333333333
INC-2024-00041,Near Miss,Facility B - Maintenance,Maintenance,Hot Work (Welding/Cutting),Poor Housekeeping,Not Applicable,EMP-0032,26-35,17,Day,1,1,0,0,4,Low,125.0,144.0,0.0,269.0,0,269.0,0,0,0,1,Pending,33,8,2024-05-01 10:40:48.124751,2024,5,2,18,Wednesday,9,May,2024-05-03 10:40:48.124751,2024-06-05 10:40:48.124751,2500000.0,269.0,0,0.0
INC-2024-00042,Near Miss,Facility B - Maintenance,HSE Department,Confined Space Entry,Lack of Training/Competency,Not Applicable,EMP-0122,46-55,8,Swing,1,1,0,0,4,Low,116.0,254.0,0.0,370.0,0,370.0,1,1,1,1,In Progress,55,5,2024-05-02 10:40:48.124751,2024,5,2,18,Thursday,14,May,2024-05-02 10:40:48.124751,2024-06-26 10:40:48.124751,2500000.0,370.0,0,1.0
INC-2024-00043,First Aid,Facility A - Production,HSE Department,Equipment Maintenance,Environmental Factors,Hand/Finger,EMP-0148,18-25,5,Day,2,2,0,0,6,Medium,554.0,1158.0,479.0,2191.0,0,2191.0,1,1,1,1,In Progress,26,7,2024-05-03 10:40:48.124751,2024,5,2,18,Friday,12,May,2024-05-03 10:40:48.124751,2024-05-29 10:40:48.124751,2500000.0,2191.0,0,1.0
INC-2024-00044,Near Miss,Facility A - Production,Engineering,Hot Work (Welding/Cutting),Environmental Factors,Not Applicable,EMP-0178,46-55,25,Swing,1,1,0,0,3,Low,104.0,204.0,0.0,308.0,0,308.0,1,0,0,1,Completed,13,9,2024-05-05 10:40:48.124751,2024,5,2,18,Sunday,14,May,2024-05-07 10:40:48.124751,2024-05-20 10:40:48.124751,2500000.0,308.0,0,0.3333333333333333
INC-2024-00045,Near Miss,Facility A - Production,Maintenance,Manual Handling/Lifting,Lack of Training/Competency,Not Applicable,EMP-0141,56+,26,Swing,1,2,0,0,3,Low,82.0,183.0,0.0,265.0,0,265.0,1,1,1,1,Pending,36,6,2024-05-09 10:40:48.124751,2024,5,2,19,Thursday,1,May,2024-05-11 10:40:48.124751,2024-06-16 10:40:48.124751,2500000.0,265.0,0,1.0
INC-2024-00046,First Aid,Facility A - Production,Workshop,Equipment Maintenance,Poor Housekeeping,Not Applicable,EMP-0108,36-45,29,Day,2,3,0,0,6,Medium,495.0,976.0,520.0,1991.0,0,1991.0,0,1,0,0,Overdue,79,10,2024-05-09 10:40:48.124751,2024,5,2,19,Thursday,21,May,2024-05-09 10:40:48.124751,2024-07-27 10:40:48.124751,2500000.0,0.0,0,0.3333333333333333
INC-2024-00047,Restricted Work,Facility A - Production,Workshop,Pressure Testing,Rushing/Time Pressure,Arm,EMP-0029,26-35,24,Day,4,4,1,1,20,Critical,17555.0,30958.0,10633.0,59146.0,0,59146.0,1,0,1,0,Completed,13,5,2024-05-10 10:40:48.124751,2024,5,2,19,Friday,12,May,2024-05-11 10:40:48.124751,2024-05-24 10:40:48.124751,2500000.0,0.0,0,0.6666666666666666
INC-2024-00048,Near Miss,Facility A - Production,Logistics,Chemical Handling,Rushing/Time Pressure,Not Applicable,EMP-0177,56+,20,Day,1,1,0,0,4,Low,90.0,160.0,0.0,250.0,0,250.0,0,0,1,1,Pending,43,8,2024-05-11 10:40:48.124751,2024,5,2,19,Saturday,11,May,2024-05-13 10:40:48.124751,2024-06-25 10:40:48.124751,2500000.0,250.0,0,0.3333333333333333
INC-2024-00049,First Aid,Facility B - Maintenance,Engineering,Confined Space Entry,Lack of Training/Competency,Back,EMP-0070,56+,5,Day,2,4,0,0,6,Medium,623.0,921.0,364.0,1908.0,0,1908.0,1,0,1,1,In Progress,43,5,2024-05-11 10:40:48.124751,2024,5,2,19,Saturday,22,May,2024-05-12 10:40:48.124751,2024-06-24 10:40:48.124751,2500000.0,1908.0,0,0.6666666666666666
INC-2024-00050,Near Miss,Facility B - Maintenance,Production Operations,Confined Space Entry,Fatigue,Not Applicable,EMP-0127,18-25,21,Day,1,2,0,0,5,Low,127.0,151.0,0.0,278.0,0,278.0,1,0,1,1,Completed,26,9,2024-05-13 10:40:48.124751,2024,5,2,20,Monday,3,May,2024-05-14 10:40:48.124751,2024-06-09 10:40:48.124751,2500000.0,278.0,0,0.6666666666666666
INC-2024-00051,Near Miss,Facility A - Production,Production Operations,Pressure Testing,Rushing/Time Pressure,Not Applicable,EMP-0073,18-25,15,Day,1,2,0,0,3,Low,125.0,239.0,0.0,364.0,0,364.0,1,0,0,1,Completed,14,10,2024-05-19 10:40:48.124751,2024,5,2,20,Sunday,11,May,2024-05-21 10:40:48.124751,2024-06-04 10:40:48.124751,2500000.0,364.0,0,0.3333333333333333
INC-2024-00052,Near Miss,Facility A - Production,Workshop,Housekeeping,Poor Housekeeping,Not Applicable,EMP-0029,56+,21,Swing,1,3,0,0,4,Low,113.0,153.0,0.0,266.0,0,266.0,1,0,0,1,Completed,24,7,2024-05-20 10:40:48.124751,2024,5,2,21,Monday,14,May,2024-05-21 10:40:48.124751,2024-06-14 10:40:48.124751,2500000.0,266.0,0,0.3333333333333333
INC-2024-00053,First Aid,Facility A - Production,Engineering,Manual Handling/Lifting,Fatigue,Leg/Foot,EMP-0018,26-35,24,Day,2,4,0,0,10,Medium,609.0,805.0,537.0,1951.0,0,1951.0,0,0,1,1,Completed,17,9,2024-05-23 10:40:48.124751,2024,5,2,21,Thursday,12,May,2024-05-23 10:40:48.124751,2024-06-09 10:40:48.124751,2500000.0,1951.0,0,0.3333333333333333
INC-2024-00054,First Aid,Facility B - Maintenance,Workshop,Vehicle Operations,Communication Breakdown,Not Applicable,EMP-0153,18-25,14,Night,2,3,0,0,2,Low,423.0,1179.0,480.0,2082.0,0,2082.0,1,1,1,1,Pending,3,9,2024-05-23 10:40:48.124751,2024,5,2,21,Thursday,1,May,2024-05-24 10:40:48.124751,2024-05-27 10:40:48.124751,2500000.0,2082.0,0,1.0
INC-2024-00055,Near Miss,Facility A - Production,Logistics,Pressure Testing,Environmental Factors,Not Applicable,EMP-0106,26-35,16,Night,1,1,0,0,4,Low,117.0,176.0,0.0,293.0,0,293.0,1,1,1,1,In Progress,23,6,2024-05-24 10:40:48.124751,2024,5,2,21,Friday,19,May,2024-05-24 10:40:48.124751,2024-06-16 10:40:48.124751,2500000.0,293.0,0,1.0
INC-2024-00056,Medical Treatment,Facility A - Production,Logistics,Routine Operations,Fatigue,Not Applicable,EMP-0155,18-25,1,Day,3,4,1,0,6,Medium,5672.0,9499.0,3322.0,18493.0,0,18493.0,0,1,1,1,Completed,24,5,2024-05-24 10:40:48.124751,2024,5,2,21,Friday,15,May,2024-05-26 10:40:48.124751,2024-06-19 10:40:48.124751,2500000.0,18493.0,0,0.6666666666666666
INC-2024-00057,First Aid,Facility A - Production,HSE Department,Manual Handling/Lifting,Inadequate Risk Assessment,Arm,EMP-0144,36-45,22,Night,2,2,0,0,8,Medium,353.0,766.0,422.0,1541.0,0,1541.0,1,0,1,1,Completed,27,9,2024-05-24 10:40:48.124751,2024,5,2,21,Friday,13,May,2024-05-25 10:40:48.124751,2024-06-21 10:40:48.124751,2500000.0,1541.0,0,0.6666666666666666
INC-2024-00058,Near Miss,Facility A - Production,Logistics,Vehicle Operations,Lack of Training/Competency,Not Applicable,EMP-0076,18-25,8,Day,1,2,0,0,5,Low,78.0,152.0,0.0,230.0,0,230.0,0,1,0,0,In Progress,56,8,2024-05-25 10:40:48.124751,2024,5,2,21,Saturday,20,May,2024-05-25 10:40:48.124751,2024-07-20 10:40:48.124751,2500000.0,0.0,0,0.3333333333333333
INC-2024-00059,Near Miss,Facility B - Maintenance,Engineering,Chemical Handling,Poor Housekeeping,Not Applicable,EMP-0067,56+,4,Night,1,3,0,0,3,Low,92.0,242.0,0.0,334.0,0,334.0,1,1,1,0,Completed,13,5,2024-05-25 10:40:48.124751,2024,5,2,21,Saturday,1,May,2024-05-25 10:40:48.124751,2024-06-07 10:40:48.124751,2500000.0,0.0,0,1.0
INC-2024-00060,Near Miss,Facility B - Maintenance,Production Operations,Confined Space Entry,Lack of Training/Competency,Not Applicable,EMP-0078,26-35,8,Day,1,1,0,0,2,Low,121.0,233.0,0.0,354.0,0,354.0,0,0,0,1,Pending,74,10,2024-05-26 10:40:48.124751,2024,5,2,21,Sunday,16,May,2024-05-28 10:40:48.124751,2024-08-10 10:40:48.124751,2500000.0,354.0,0,0.0
INC-2024-00061,Near Miss,Facility A - Production,Workshop,Pressure Testing,Rushing/Time Pressure,Not Applicable,EMP-0011,46-55,23,Night,1,3,0,0,1,Low,71.0,214.0,0.0,285.0,0,285.0,0,1,0,1,Completed,10,5,2024-05-26 10:40:48.124751,2024,5,2,21,Sunday,15,May,2024-05-27 10:40:48.124751,2024-06-06 10:40:48.124751,2500000.0,285.0,0,0.3333333333333333
INC-2024-00062,Near Miss,Facility A - Production,Production Operations,Housekeeping,Poor Housekeeping,Not Applicable,EMP-0178,26-35,6,Day,1,2,0,0,2,Low,111.0,145.0,0.0,256.0,0,256.0,0,0,0,1,Completed,26,8,2024-05-27 10:40:48.124751,2024,5,2,22,Monday,3,May,2024-05-27 10:40:48.124751,2024-06-22 10:40:48.124751,2500000.0,256.0,0,0.0
INC-2024-00063,First Aid,Facility B - Maintenance,Workshop,Working at Height,Rushing/Time Pressure,Hand/Finger,EMP-0123,46-55,23,Day,2,3,0,0,2,Low,556.0,713.0,451.0,1720.0,0,1720.0,0,1,1,1,Completed,6,5,2024-05-27 10:40:48.124751,2024,5,2,22,Monday,10,May,2024-05-27 10:40:48.124751,2024-06-02 10:40:48.124751,2500000.0,1720.0,0,0.6666666666666666
INC-2024-00064,Near Miss,Facility B - Maintenance,Workshop,Routine Operations,Fatigue,Not Applicable,EMP-0032,18-25,23,Day,1,1,0,0,1,Low,75.0,156.0,0.0,231.0,0,231.0,1,1,0,1,Completed,27,5,2024-05-29 10:40:48.124751,2024,5,2,22,Wednesday,12,May,2024-05-31 10:40:48.124751,2024-06-27 10:40:48.124751,2500000.0,231.0,0,0.6666666666666666
